,technology,node,time_storage_level,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
197,Bauxite_storage,BRA,1,0.0,0.0,0.0,0.0,0.0,0.0
198,Bauxite_storage,BRA,2,0.0,0.0,0.0,0.0,0.0,0.0
199,Bauxite_storage,BRA,3,0.0,0.0,0.0,0.0,0.0,0.0
200,Bauxite_storage,BRA,4,0.0,0.0,0.0,0.0,0.0,0.0
201,Bauxite_storage,BRA,5,0.0,0.0,0.0,0.0,0.0,0.0
202,Bauxite_storage,BRA,6,0.0,0.0,0.0,0.0,0.0,0.0
203,Bauxite_storage,BRA,7,0.0,0.0,0.0,0.0,0.0,0.0
204,Bauxite_storage,BRA,8,0.0,0.0,0.0,0.0,0.0,0.0
205,Bauxite_storage,BRA,9,0.0,0.0,0.0,0.0,0.0,0.0
206,Bauxite_storage,BRA,10,0.0,0.0,0.0,0.0,0.0,0.0
207,Bauxite_storage,BRA,11,0.0,0.0,0.0,0.0,0.0,0.0
208,Bauxite_storage,BRA,12,0.0,0.0,0.0,0.0,0.0,0.0
209,Bauxite_storage,BRA,13,0.0,0.0,0.0,0.0,0.0,0.0
210,Bauxite_storage,CHN,0,0.0,0.0,0.0,0.0,0.0,0.0
211,Bauxite_storage,CHN,1,0.0,0.0,0.0,0.0,0.0,0.0
212,Bauxite_storage,CHN,2,0.0,0.0,0.0,0.0,0.0,0.0
213,Bauxite_storage,CHN,3,0.0,0.0,0.0,0.0,0.0,0.0
214,Bauxite_storage,CHN,4,0.0,0.0,0.0,0.0,0.0,0.0
215,Bauxite_storage,CHN,5,0.0,0.0,0.0,0.0,0.0,0.0
216,Bauxite_storage,CHN,6,0.0,0.0,0.0,0.0,0.0,0.0
217,Bauxite_storage,CHN,7,0.0,0.0,0.0,0.0,0.0,0.0
218,Bauxite_storage,CHN,8,0.0,0.0,0.0,0.0,0.0,0.0
219,Bauxite_storage,CHN,9,0.0,0.0,0.0,0.0,0.0,0.0
220,Bauxite_storage,CHN,10,0.0,0.0,0.0,0.0,0.0,0.0
221,Bauxite_storage,CHN,11,0.0,0.0,0.0,0.0,0.0,0.0
222,Bauxite_storage,CHN,12,0.0,0.0,0.0,0.0,0.0,0.0
223,Bauxite_storage,CHN,13,0.0,0.0,0.0,0.0,0.0,0.0
224,Bauxite_storage,CZE,0,0.0,0.0,0.0,0.0,0.0,0.0
225,Bauxite_storage,CZE,1,0.0,0.0,0.0,0.0,0.0,0.0
226,Bauxite_storage,CZE,2,0.0,0.0,0.0,0.0,0.0,0.0
227,Bauxite_storage,CZE,3,0.0,0.0,0.0,0.0,0.0,0.0
228,Bauxite_storage,CZE,4,0.0,0.0,0.0,0.0,0.0,0.0
229,Bauxite_storage,CZE,5,0.0,0.0,0.0,0.0,0.0,0.0
230,Bauxite_storage,CZE,6,0.0,0.0,0.0,0.0,0.0,0.0
231,Bauxite_storage,CZE,7,0.0,0.0,0.0,0.0,0.0,0.0
232,Bauxite_storage,CZE,8,0.0,0.0,0.0,0.0,0.0,0.0
233,Bauxite_storage,CZE,9,0.0,0.0,0.0,0.0,0.0,0.0
234,Bauxite_storage,CZE,10,0.0,0.0,0.0,0.0,0.0,0.0
235,Bauxite_storage,CZE,11,0.0,0.0,0.0,0.0,0.0,0.0
236,Bauxite_storage,CZE,12,0.0,0.0,0.0,0.0,0.0,0.0
237,Bauxite_storage,CZE,13,0.0,0.0,0.0,0.0,0.0,0.0
238,Bauxite_storage,DEU,0,0.0,0.0,0.0,0.0,0.0,0.0
239,Bauxite_storage,DEU,1,0.0,0.0,0.0,0.0,0.0,0.0
240,Bauxite_storage,DEU,2,0.0,0.0,0.0,0.0,0.0,0.0
241,Bauxite_storage,DEU,3,0.0,0.0,0.0,0.0,0.0,0.0
242,Bauxite_storage,DEU,4,0.0,0.0,0.0,0.0,0.0,0.0
243,Bauxite_storage,DEU,5,0.0,0.0,0.0,0.0,0.0,0.0
244,Bauxite_storage,DEU,6,0.0,0.0,0.0,0.0,0.0,0.0
245,Bauxite_storage,DEU,7,0.0,0.0,0.0,0.0,0.0,0.0
246,Bauxite_storage,DEU,8,0.0,0.0,0.0,0.0,0.0,0.0
247,Bauxite_storage,DEU,9,0.0,0.0,0.0,0.0,0.0,0.0
248,Bauxite_storage,DEU,10,0.0,0.0,0.0,0.0,0.0,0.0
249,Bauxite_storage,DEU,11,0.0,0.0,0.0,0.0,0.0,0.0
250,Bauxite_storage,DEU,12,0.0,0.0,0.0,0.0,0.0,0.0
251,Bauxite_storage,DEU,13,0.0,0.0,0.0,0.0,0.0,0.0
252,Bauxite_storage,ITA,0,0.0,0.0,0.0,0.0,0.0,0.0
