,technology,location,year,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
11563,HEX_transport,AUT-USA,13,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11564,HEX_transport,BRA-AUS,0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11565,HEX_transport,BRA-AUS,1,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11566,HEX_transport,BRA-AUS,2,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11567,HEX_transport,BRA-AUS,3,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11568,HEX_transport,BRA-AUS,4,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11569,HEX_transport,BRA-AUS,5,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11570,HEX_transport,BRA-AUS,6,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11571,HEX_transport,BRA-AUS,7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11572,HEX_transport,BRA-AUS,8,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11573,HEX_transport,BRA-AUS,9,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11574,HEX_transport,BRA-AUS,10,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11575,HEX_transport,BRA-AUS,11,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11576,HEX_transport,BRA-AUS,12,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11577,HEX_transport,BRA-AUS,13,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11578,HEX_transport,BRA-AUT,0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11579,HEX_transport,BRA-AUT,1,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11580,HEX_transport,BRA-AUT,2,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11581,HEX_transport,BRA-AUT,3,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11582,HEX_transport,BRA-AUT,4,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11583,HEX_transport,BRA-AUT,5,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11584,HEX_transport,BRA-AUT,6,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11585,HEX_transport,BRA-AUT,7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11586,HEX_transport,BRA-AUT,8,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11587,HEX_transport,BRA-AUT,9,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
